"entity","year","records","organization_type","method","sources"
"RockYou!","2009",32000000,"Web Gaming","hacked","[167]"
"University of California Berkeley","2009",160000,"Academic","hacked","[221]"
"Virginia Department of Health","2009",8257378,"Government Healthcare","hacked","[23]"
"Virginia Prescription Monitoring Program","2009",531400,"Healthcare","hacked","[23]"
"AT&T","2008",113000,"Telecoms","lost / stolen computer","[23]"
"Auction.co.kr","2008",18000000,"Web","hacked","[25]"
"Credit Card Companies","2008",8000000,"Financial","hacked","[60]"
"GS Caltex","2008",11100000,"Energy","inside job","[99][100]"
"Jefferson County West Virginia","2008",1600000,"Government","accidentally published","[23][119]"
"JP Morgan Chase","2010",2600000,"Financial","lost / stolen media","[120]"
"Honda Canada","2011",283000,"Retail","poor security","[112]"
"Restaurant Depot","2011",200000,"Retail","hacked","[23]"
"Ministry of Education (Chile)","2008",6000000,"Government","accidentally published","[142][143]"
"Norwegian Tax Administration","2008",3950000,"Government","accidentally published","[157]"
"RBS Worldpay","2008",1500000,"Financial","hacked","[166]"
"Service Personnel and Veterans Agency (UK)","2008",50500,"Government","lost / stolen media","[175]"
"Stanford University","2008",72000,"Academic","lost / stolen computer","[23][186]"
"The Bank of New York Mellon","2008",12500000,"Financial","lost / stolen media","[37]"
"UK Home Office","2008",84000,"Government","lost / stolen media","[218]"
"UK Ministry of Defence","2008",1700000,"Government","lost / stolen media","[219]"
"University of Miami","2008",2100000,"Academic","lost / stolen computer","[23]"
